index,top5_indices,top5_tanimoto
93,"[np.int64(132), np.int64(51), np.int64(11), np.int64(108), np.int64(13)]","[0.8163265306122449, 0.8, 0.7142857142857143, 0.7, 0.6382978723404256]"
94,"[np.int64(125), np.int64(424), np.int64(43), np.int64(85), np.int64(1222)]","[0.775, 0.631578947368421, 0.5384615384615384, 0.525, 0.5106382978723404]"
95,"[np.int64(76), np.int64(144), np.int64(93), np.int64(108), np.int64(666)]","[0.9787234042553191, 0.4262295081967213, 0.4032258064516129, 0.3939393939393939, 0.3880597014925373]"
96,"[np.int64(92), np.int64(5), np.int64(1), np.int64(143), np.int64(138)]","[0.9655172413793104, 0.6388888888888888, 0.6111111111111112, 0.5609756097560976, 0.5365853658536586]"
97,"[np.int64(858), np.int64(3), np.int64(132), np.int64(152), np.int64(93)]","[0.98, 0.3235294117647059, 0.2727272727272727, 0.2727272727272727, 0.2714285714285714]"
98,"[np.int64(49), np.int64(736), np.int64(670), np.int64(668), np.int64(1053)]","[1.0, 0.9714285714285714, 0.9714285714285714, 0.631578947368421, 0.5333333333333333]"
99,"[np.int64(580), np.int64(983), np.int64(368), np.int64(355), np.int64(1035)]","[0.7727272727272727, 0.4772727272727273, 0.40816326530612246, 0.3333333333333333, 0.3333333333333333]"
100,"[np.int64(137), np.int64(64), np.int64(121), np.int64(830), np.int64(450)]","[0.9767441860465116, 0.5660377358490566, 0.5660377358490566, 0.5555555555555556, 0.46]"
101,"[np.int64(58), np.int64(108), np.int64(11), np.int64(51), np.int64(136)]","[0.9782608695652174, 0.82, 0.8, 0.7058823529411765, 0.6296296296296297]"
102,"[np.int64(219), np.int64(892), np.int64(748), np.int64(179), np.int64(631)]","[0.35714285714285715, 0.35555555555555557, 0.32, 0.3194444444444444, 0.3191489361702128]"
103,"[np.int64(33), np.int64(93), np.int64(132), np.int64(51), np.int64(108)]","[0.9791666666666666, 0.3333333333333333, 0.3287671232876712, 0.3283582089552239, 0.273972602739726]"
104,"[np.int64(111), np.int64(15), np.int64(83), np.int64(105), np.int64(23)]","[0.9705882352941176, 0.3191489361702128, 0.3125, 0.26666666666666666, 0.2653061224489796]"
105,"[np.int64(869), np.int64(15), np.int64(23), np.int64(600), np.int64(83)]","[0.96, 0.2926829268292683, 0.2926829268292683, 0.2857142857142857, 0.2857142857142857]"
106,"[np.int64(507), np.int64(1289), np.int64(1448), np.int64(723), np.int64(59)]","[0.9565217391304348, 0.4827586206896552, 0.4666666666666667, 0.41379310344827586, 0.4]"
107,"[np.int64(966), np.int64(708), np.int64(123), np.int64(401), np.int64(986)]","[0.967741935483871, 0.7894736842105263, 0.475, 0.4634146341463415, 0.38461538461538464]"
108,"[np.int64(11), np.int64(101), np.int64(58), np.int64(93), np.int64(136)]","[0.9777777777777777, 0.82, 0.8, 0.7, 0.6730769230769231]"
109,"[np.int64(842), np.int64(465), np.int64(81), np.int64(647), np.int64(696)]","[0.9705882352941176, 0.45098039215686275, 0.4222222222222222, 0.41818181818181815, 0.41304347826086957]"
110,"[np.int64(86), np.int64(10), np.int64(77), np.int64(29), np.int64(112)]","[0.5918367346938775, 0.5918367346938775, 0.43636363636363634, 0.38181818181818183, 0.3076923076923077]"
111,"[np.int64(104), np.int64(83), np.int64(15), np.int64(869), np.int64(806)]","[0.9705882352941176, 0.3333333333333333, 0.3125, 0.2826086956521739, 0.2641509433962264]"
112,"[np.int64(10), np.int64(440), np.int64(110), np.int64(589), np.int64(231)]","[0.509090909090909, 0.4426229508196721, 0.3076923076923077, 0.26153846153846155, 0.2537313432835821]"
113,"[np.int64(115), np.int64(996), np.int64(644), np.int64(1339), np.int64(416)]","[0.9722222222222222, 0.2413793103448276, 0.23943661971830985, 0.2361111111111111, 0.23529411764705882]"
114,"[np.int64(45), np.int64(1229), np.int64(302), np.int64(1364), np.int64(938)]","[0.76, 0.4444444444444444, 0.37142857142857144, 0.3611111111111111, 0.34285714285714286]"
115,"[np.int64(113), np.int64(644), np.int64(416), np.int64(343), np.int64(1339)]","[0.9722222222222222, 0.24285714285714285, 0.24, 0.24, 0.23943661971830985]"
116,"[np.int64(864), np.int64(57), np.int64(638), np.int64(67), np.int64(1074)]","[0.9666666666666667, 0.5128205128205128, 0.5, 0.4473684210526316, 0.42857142857142855]"
117,"[np.int64(1438), np.int64(559), np.int64(1032), np.int64(45), np.int64(865)]","[0.6388888888888888, 0.38461538461538464, 0.375, 0.3548387096774194, 0.32432432432432434]"
118,"[np.int64(1000), np.int64(568), np.int64(811), np.int64(197), np.int64(173)]","[0.9782608695652174, 0.5714285714285714, 0.56, 0.3877551020408163, 0.3389830508474576]"
119,"[np.int64(499), np.int64(1446), np.int64(448), np.int64(260), np.int64(754)]","[0.3333333333333333, 0.3191489361702128, 0.3191489361702128, 0.3050847457627119, 0.3018867924528302]"
120,"[np.int64(18), np.int64(50), np.int64(145), np.int64(754), np.int64(685)]","[0.2839506172839506, 0.28, 0.27848101265822783, 0.2328767123287671, 0.2318840579710145]"
121,"[np.int64(64), np.int64(830), np.int64(100), np.int64(137), np.int64(450)]","[0.7446808510638298, 0.7291666666666666, 0.5660377358490566, 0.5555555555555556, 0.46938775510204084]"
122,"[np.int64(783), np.int64(80), np.int64(67), np.int64(1452), np.int64(1428)]","[0.9705882352941176, 0.6111111111111112, 0.475, 0.46511627906976744, 0.45454545454545453]"
123,"[np.int64(401), np.int64(107), np.int64(966), np.int64(708), np.int64(986)]","[0.9666666666666667, 0.475, 0.4634146341463415, 0.425531914893617, 0.2926829268292683]"
124,"[np.int64(832), np.int64(145), np.int64(224), np.int64(163), np.int64(363)]","[0.972972972972973, 0.3125, 0.27692307692307694, 0.2727272727272727, 0.26]"
125,"[np.int64(94), np.int64(1222), np.int64(424), np.int64(43), np.int64(85)]","[0.775, 0.5384615384615384, 0.5106382978723404, 0.4375, 0.42857142857142855]"
126,"[np.int64(798), np.int64(563), np.int64(934), np.int64(414), np.int64(472)]","[0.9803921568627451, 0.3508771929824561, 0.3387096774193548, 0.3333333333333333, 0.32857142857142857]"
127,"[np.int64(744), np.int64(351), np.int64(474), np.int64(424), np.int64(770)]","[0.967741935483871, 0.7352941176470589, 0.7142857142857143, 0.6052631578947368, 0.5319148936170213]"
128,"[np.int64(1040), np.int64(84), np.int64(139), np.int64(1233), np.int64(1386)]","[0.975, 0.42592592592592593, 0.42592592592592593, 0.4230769230769231, 0.41509433962264153]"
129,"[np.int64(66), np.int64(13), np.int64(136), np.int64(79), np.int64(85)]","[0.9666666666666667, 0.7631578947368421, 0.7142857142857143, 0.6904761904761905, 0.6216216216216216]"
130,"[np.int64(148), np.int64(686), np.int64(757), np.int64(1053), np.int64(1085)]","[0.9767441860465116, 0.3090909090909091, 0.30357142857142855, 0.24193548387096775, 0.24193548387096775]"
131,"[np.int64(1077), np.int64(829), np.int64(1174), np.int64(930), np.int64(1231)]","[0.5692307692307692, 0.27692307692307694, 0.25, 0.2375, 0.2375]"
