SMILES,MW,LogP,TPSA,HBA,HBD,cluster,x_umap,y_umap,Cluster_ID
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],354.02199999999993,3.578000000000002,0.0,0,0,234,4.782658,0.44541866,234
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,308.38100000000003,3.7878000000000025,40.620000000000005,2,0,354,4.009774,1.233821,354
CS(=O)(=O)OCCCCOS(C)(=O)=O,246.30599999999998,-0.2809999999999997,86.74000000000001,6,0,922,5.831217,1.021466,922
CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1.Cl,513.5090000000001,5.509800000000008,43.78,3,1,362,1.9636503,0.7201787,362
Cc1cc(O)cc(C)c1Cl,156.612,2.6624400000000015,20.23,1,1,921,4.412805,-2.2477834,921
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],339.9949999999999,3.4594000000000014,3.88,0,0,310,4.997871,0.62835735,310
Cl.c1ccc2c(c1)CCCC2C1=NCCN1,236.74599999999995,2.5300000000000007,24.39,2,1,343,3.671117,-4.1002345,343
CN(C)CCOC(c1ccccc1)c1ccccc1.Cl,291.822,3.776000000000004,12.47,2,0,31,2.3512876,-0.5188693,31
CC1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.84200000000004,2.0834,92.5,4,2,920,0.94070524,-2.2333817,920
CO[C@]12C[C@@H](COC(=O)c3cncc(Br)c3)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,484.3940000000002,3.9109000000000034,56.59,6,0,919,1.9496034,3.4107947,919
CN(C)CCOC(C)(c1ccccc1)c1ccccn1.O=C(O)CCC(=O)O,388.46400000000017,2.8590999999999998,99.96,5,2,350,2.5801256,-0.6245129,350
Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1.O=[N+]([O-])O,479.14700000000005,6.107100000000004,90.42,5,1,58,1.9499182,-2.9053652,58
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,232.239,0.7003999999999997,75.27000000000001,3,2,918,3.4360945,1.7960868,918
O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,281.23299999999995,4.147200000000001,49.33,2,2,917,5.048398,-1.7864307,917
Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1.Cl,296.8419999999999,3.2725400000000016,44.620000000000005,3,2,359,3.6704679,-4.0800166,359
COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl,290.74699999999996,0.23389999999999983,93.81,5,3,294,3.5168087,-0.8554073,294
OCC(O)CN1CCN(c2ccccc2)CC1,236.31500000000003,0.16180000000000005,46.94,4,2,916,1.3784695,0.27463704,916
